@relation Frampt

@attribute mergeObsZZ_9_10 {-85,-24,-60,-62,0,2,3,25,80,93}
@attribute intermediateReward numeric
@attribute nearestCoin numeric
@attribute nearestCreature numeric
@attribute distancePassedCells numeric
@attribute saltoSeguido numeric
@attribute marioOnGround {true,false}
@attribute marioMode numeric
@attribute reward24 numeric
@attribute coin24 numeric
@attribute creature24 numeric
@attribute distance24 numeric
@attribute salto24 numeric
@attribute ground24 {true,false}
@attribute mode24 numeric
@attribute merge24ObsZZ_9_10 {-85,-24,-60,-62,0,2,3,25,80,93}
@attribute evaluacion numeric
@attribute DOWN {true,false}
@attribute JUMP {true,false}
@attribute LEFT {true,false}
@attribute RIGHT {true,false}
@attribute SPEED {true,false}
@attribute UP {true,false}

@data
0,-1,11,8,2,1,false,2,-1,11,7,7,0,true,2,0,150,false,false,false,false,false,false
0,-1,11,9,2,0,false,2,-1,11,8,7,1,false,2,0,150,false,false,false,true,false,false
0,-1,11,9,2,0,false,2,-1,11,9,7,0,false,2,0,150,false,false,false,true,false,false
0,-1,11,9,2,0,false,2,-1,11,9,8,0,false,2,0,180,false,false,false,true,false,false
0,-1,11,9,2,0,false,2,-1,11,9,8,0,false,2,0,180,false,false,false,true,false,false
0,-1,11,11,2,0,false,2,-1,11,9,8,0,false,2,0,180,false,false,false,true,false,false
0,-1,11,11,2,0,false,2,-1,11,11,9,0,false,2,0,210,false,false,false,true,false,false
0,-1,11,11,2,0,false,2,-1,11,11,9,0,false,2,0,210,false,false,false,true,false,false
0,-1,11,7,3,0,false,2,-1,11,11,9,0,false,2,0,180,false,false,false,true,false,false
0,-1,11,7,3,0,false,2,-1,11,7,10,0,false,2,0,210,false,false,false,true,false,false
0,-1,11,6,3,0,false,2,-1,11,7,10,0,false,2,0,210,false,false,false,true,false,false
0,-1,11,5,3,0,false,2,-1,11,6,10,0,false,2,0,210,false,false,false,true,false,false
0,-1,11,5,4,0,false,2,-1,11,5,11,0,false,2,0,210,false,false,false,true,false,false
0,-1,11,4,4,0,true,2,-1,11,5,11,0,false,2,0,210,false,false,false,true,false,false
0,-1,11,3,4,0,true,2,-1,11,4,11,0,true,2,0,210,false,true,false,true,false,false
0,-1,11,3,4,1,true,2,-1,11,3,12,0,true,2,0,240,false,true,false,true,false,false
0,-1,11,3,5,2,true,2,-1,11,3,12,1,true,2,0,210,false,true,false,true,false,false
0,-1,7,2,5,3,false,2,-1,11,3,12,2,true,2,0,210,false,true,false,true,false,false
0,-1,7,2,5,4,false,2,-1,7,2,13,3,false,2,0,240,false,true,false,true,false,false
0,-1,8,3,6,5,false,2,-1,7,2,13,4,false,2,0,210,false,true,false,true,false,false
0,-1,7,11,6,6,false,2,-1,8,3,13,5,false,2,0,210,false,true,false,true,false,false
0,-1,4,5,6,7,false,2,-1,7,11,14,6,false,2,0,240,false,true,false,true,false,false
0,-1,4,5,6,8,false,2,-1,4,5,14,7,false,2,0,240,false,false,false,true,false,false
0,-1,4,7,7,0,false,2,-1,4,5,14,8,false,2,0,210,false,true,false,true,false,false
0,-1,4,7,7,1,false,2,-1,4,7,15,0,false,2,0,240,false,true,false,true,false,false
0,-1,4,7,7,2,false,2,-1,4,7,15,1,false,2,0,240,false,true,false,true,false,false
0,-1,3,6,8,3,false,2,-1,4,7,15,2,false,2,0,210,false,true,false,true,false,false
0,-1,4,4,8,4,true,2,-1,3,6,16,3,false,2,0,240,false,true,false,true,false,false
0,-1,4,4,8,5,true,2,-1,4,4,16,4,true,2,0,240,false,true,false,true,false,false
-24,-1,3,5,9,6,true,2,-1,4,4,16,5,true,2,-24,210,false,true,false,true,false,false
-24,-1,3,4,9,7,true,2,-1,3,5,17,6,true,2,-24,240,false,true,false,true,false,false
-24,-1,3,4,9,8,true,2,-1,3,4,17,7,true,2,-24,240,false,false,false,true,false,false
-24,-1,3,4,10,0,true,2,-1,3,4,17,8,true,2,-24,210,false,false,false,true,false,false
-24,-1,3,4,10,0,true,2,-1,3,4,17,0,true,2,-24,210,false,false,false,true,false,false
-24,-1,3,4,10,0,true,2,-1,3,4,17,0,true,2,-24,210,false,false,false,true,false,false
0,-1,2,6,11,0,false,2,-1,3,4,17,0,true,2,0,180,false,false,false,true,false,false
0,-1,2,7,11,0,false,2,-1,2,6,17,0,false,2,0,180,false,false,false,true,false,false
0,-1,3,8,11,0,false,2,-1,2,7,17,0,false,2,0,180,false,false,false,true,false,false
0,-1,3,8,12,0,false,2,-1,3,8,17,0,false,2,0,150,false,true,false,true,false,false
0,-1,2,8,12,1,false,2,-1,3,8,17,0,false,2,0,150,false,true,false,true,false,false
0,-1,3,9,12,2,false,2,-1,2,8,18,1,false,2,0,180,false,true,false,true,false,false
0,-1,3,9,13,3,false,2,-1,3,9,18,2,false,2,0,150,false,false,false,true,false,false
0,-1,3,9,13,0,false,2,-1,3,9,18,3,false,2,0,150,false,true,false,true,false,false
0,-1,2,8,13,1,false,2,-1,3,9,18,0,false,2,0,150,false,true,false,true,false,false
0,-1,2,8,14,2,false,2,-1,2,8,18,1,false,2,0,120,false,true,false,true,false,false
2,-1,1,6,14,3,true,2,-1,2,8,18,2,false,2,2,120,false,true,false,true,false,false
2,-1,1,6,14,4,true,2,15,1,6,19,3,true,2,2,390,false,true,false,true,false,false
2,-1,1,5,15,5,true,2,15,1,6,19,4,true,2,2,360,false,false,false,true,false,false
0,-1,2,5,15,0,true,2,31,1,5,19,5,true,2,0,600,false,true,false,true,false,false
2,-1,1,5,15,1,true,2,63,2,5,19,0,true,2,2,1080,false,true,false,true,false,false
2,-1,1,5,16,2,true,2,63,1,5,20,1,true,2,2,1080,false,true,false,true,false,false
0,-1,4,5,16,3,true,2,63,1,5,20,2,true,2,0,1080,false,true,false,true,false,false
0,-1,3,4,16,4,false,2,95,4,5,20,3,true,2,0,1560,false,false,false,true,false,false
0,-1,4,3,17,0,true,2,95,3,4,21,4,false,2,0,1560,false,true,false,true,false,false
0,-1,4,3,17,1,true,2,95,4,3,21,0,true,2,0,1560,false,true,false,true,false,false
0,-1,3,2,17,2,true,2,95,4,3,21,1,true,2,0,1560,false,true,false,true,false,false
0,-1,3,2,17,3,true,2,95,3,2,22,2,true,2,0,1590,false,true,false,true,false,false
0,-1,3,2,17,4,true,2,95,3,2,22,3,true,2,0,1590,false,false,false,true,false,false
0,-1,2,3,17,0,true,2,95,3,2,22,4,true,2,0,1590,false,true,false,true,false,false
2,-1,1,3,17,1,false,2,95,2,3,22,0,true,2,2,1590,false,true,false,true,false,false
0,-1,2,4,17,2,false,2,95,1,3,23,1,false,2,0,1620,false,true,false,true,false,false
0,-1,3,5,17,3,false,2,95,2,4,23,2,false,2,0,1620,false,true,false,true,false,false
0,-1,3,4,17,4,false,2,95,3,5,23,3,false,2,0,1620,false,true,false,true,false,false
0,-1,3,4,18,5,false,2,95,3,4,24,4,false,2,0,1620,false,true,false,true,false,false
0,-1,3,4,18,6,false,2,95,3,4,24,5,false,2,0,1620,false,true,false,true,false,false
0,-1,3,7,18,7,false,2,95,3,4,24,6,false,2,0,1620,false,true,false,true,false,false
0,-1,3,7,18,8,false,2,95,3,7,25,7,false,2,0,1650,false,false,false,true,false,false
0,-1,2,3,18,0,true,2,95,3,7,25,8,false,2,0,1650,false,true,false,true,false,false
0,-1,2,5,18,1,true,2,95,2,3,25,0,true,2,0,1650,false,true,false,true,false,false
2,15,1,4,19,2,true,2,95,2,5,26,1,true,2,2,1410,false,true,false,true,false,false
0,15,11,3,19,3,true,2,111,1,4,26,2,true,2,0,1650,false,true,false,true,false,false
0,31,11,3,19,4,false,2,169,11,3,26,3,true,2,0,2280,false,true,false,true,false,false
0,63,11,4,19,5,false,2,169,11,3,27,4,false,2,0,1830,false,false,false,true,false,false
0,63,11,5,20,0,false,2,169,11,4,27,5,false,2,0,1800,false,true,false,true,false,false
0,63,11,4,20,1,false,2,169,11,5,27,0,false,2,0,1800,false,true,false,true,false,false
0,95,11,4,20,2,false,2,169,11,4,28,1,false,2,0,1350,false,true,false,true,false,false
0,95,11,4,21,3,false,2,169,11,4,28,2,false,2,0,1320,false,true,false,true,false,false
0,95,8,9,21,4,false,2,169,11,4,28,3,false,2,0,1320,false,true,false,true,false,false
0,95,8,9,21,5,false,2,169,8,9,29,4,false,2,0,1350,false,false,false,true,false,false
0,95,7,8,22,0,true,2,169,8,9,29,5,false,2,0,1320,false,true,false,true,false,false
0,95,4,6,22,1,true,2,169,7,8,29,0,true,2,0,1320,false,true,false,true,false,false
0,95,6,7,22,2,false,2,179,4,6,30,1,true,2,0,1500,false,false,false,true,false,false
0,95,7,8,22,0,false,2,179,6,7,30,2,false,2,0,1500,false,true,false,true,false,false
0,95,6,7,23,1,false,2,179,7,8,30,0,false,2,0,1470,false,true,false,true,false,false
0,95,7,9,23,2,false,2,179,6,7,31,1,false,2,0,1500,false,true,false,true,false,false
0,95,7,9,23,3,false,2,179,7,9,31,2,false,2,0,1500,false,true,false,true,false,false
0,95,7,11,24,4,false,2,179,7,9,31,3,false,2,0,1470,false,true,false,true,false,false
0,95,7,11,24,5,false,2,179,7,11,32,4,false,2,0,1500,false,false,false,true,false,false
0,95,6,11,24,0,false,2,179,7,11,32,5,false,2,0,1500,false,true,false,true,false,false
0,95,6,11,25,1,false,2,179,6,11,33,0,false,2,0,1500,false,true,false,true,false,false
0,95,6,11,25,2,false,2,179,6,11,33,1,false,2,0,1500,false,true,false,true,false,false
0,95,4,6,25,3,false,2,179,6,11,33,2,false,2,0,1500,false,true,false,true,false,false
0,95,4,6,26,4,false,2,179,4,6,34,3,false,2,0,1500,false,false,false,true,false,false
0,111,3,6,26,0,false,2,179,4,6,34,4,false,2,0,1260,false,true,false,true,false,false
0,169,2,4,26,1,true,2,179,3,6,34,0,false,2,0,390,false,true,false,true,false,false
2,169,1,3,27,2,true,2,179,2,4,35,1,true,2,2,390,false,true,false,true,false,false
2,169,1,3,27,3,true,2,195,1,3,35,2,true,2,2,630,false,false,false,true,false,false
0,169,11,2,27,0,true,2,211,1,3,35,3,true,2,0,870,false,false,false,true,false,false
